employee_id,month,sales_amount,region,client_type
2,July,15000000,Norte,Corporate
4,July,22000000,Norte,Corporate
7,July,18500000,Centro,Enterprise
14,July,25000000,Norte,Enterprise
1,August,12000000,Sur,SMB
2,August,18000000,Norte,Corporate
5,August,9500000,Sur,SMB
7,August,21000000,Centro,Enterprise
10,August,11000000,Sur,Corporate
14,August,28000000,Norte,Enterprise
2,September,19000000,Norte,Corporate
4,September,24000000,Norte,Corporate
7,September,23000000,Centro,Enterprise
10,September,13000000,Sur,Corporate
14,September,30000000,Norte,Enterprise
1,July,10000000,Sur,SMB
5,July,8000000,Sur,SMB
10,July,9500000,Sur,Corporate
1,September,14000000,Sur,SMB
5,September,11000000,Sur,SMB
